일자,언론사,제목,중요키워드
20170601,문화일보,"이용섭 일자리委 부위원장 “4대강, 특수비 등 낭비성 예산 줄이면 일자리 예산 확보 충분”","일자리,부위원장,일자리_예산,일자리_100일,1만,공공부문_일자리,일자리_100일_계획,이용섭_일자리,최저임금_1만_원_인상,일자리_중심,최저임금_1만,공공부문_일자리_증가,부위원장_4대강,최저임금,일자리_예산_확보,로드맵,공공부문_일자리_81만_로드맵,일자리_100일_플랜,낭비성_예산,문재인,근로시간_단축,근로시간,이용섭,일자리_중심_행정체계,문재인_대통령,취임_100일,이해완,이용섭_대통령,정부서울청사,서울,육아휴직급여_인상,공무원_1만,3000억,낭비성,4대강,3000억_원_규모,추가_채용,일자리위원회,주당_법정_근로시간,카드_우대수수료율,후보_시절,패자부활_펀드,주당_법정,카드_우대수수료율_적용,81만_로드맵,후보_시절_발표,창성동_정부서울청사,이해완_기자_parasa,청년구직수당,중소기업"
20170601,파이낸셜뉴스,"투교협, 정기 수요강좌 개최","4차,4차_산업혁명,6층,산업혁명,이나예,투교협,한국투자증권,정기_수요강좌_개최,한국투자증권_이나예,정기_수요강좌,한국투자증권_이나예_수석연구원,금융투자교육원_6층,국내_증시_영향,참석자,투교협_홈페이지,투자자,연구원,여의도,일반인,금융투자교육원,서울,홈페이지,협의회,일상생활,리더스홀,수석연구원,리더스,전국투자자교육협의회,강연_자료,참석_가능,글로벌_기업,서울_여의도,태동_배경,pja,강좌,정기,혁명,개최,증시,제공,자료,강연,한정,참석,신청,가능,교육,강의,기업,강사"
20170601,파이낸셜뉴스,LX '공간정보 분야 4차 산업혁명 기술 활용' 공모전,"한국국토정보공사,4차,공모전,분야_4차,4차_산업혁명,산업혁명,1차,공간정보_분야,4주,5편,한국국토정보공사_홈페이지,lx,제2회_한국국토정보대상_연구과제_공모,제2회_한국국토정보대상,lx_공간정보,2차,드론,입상자,cynical73,입상작,1000만,스마트국토엑스포,대한민국,한국국토정보공사_사장상,한국,홈페이지,주력기술들,4차_산업혁명시대,대한지적공사,최종_입상작,개최_예정,대한민국_국민,지식_발굴,1차_서류심사,2차_발표심사,iot,cloud,정보,분야,공모,활용,심사,공간,스마트,선정,참여,국민,가능,예정,확인"
20170601,무등일보,"동신대, 에너지밸리 기술사업화정책최고위과정 2기 입학식","에너지밸리,에너지밸리_기술사업화,본부장,에너지밸리_기술사업화_정책_최고위과정,기술사업화,동신대,2기,에너지밸리_조성,입학식,에너지_신산업_정책,에너지밸리_육성,산업혁명,정책_최고위과정,2기_입학식,에너지_신산업,산학_협력,최고위과정_2기,최고위과정,나주시,에너지밸리_육성정책,시장미래,한전kdn_본부장,공무원,논설위원,김필식_동신대,네트워킹,한국,입학식_당일,4차_산업혁명,입학식_당일_제4차_산업혁명,신산업,한전,한국전력_본부장,전력거래소_본부장,송변전,동신대_에너지융합대학,산업부,국제협력_네트워킹,공동발전전략,동신대학교,김필식_동신대_총장,국제협력_네트워킹_연수,제4차_산업혁명,한전kdn,김필식,전남도,나주시_사무관급_이상_공무원,제2기_입학식,기술사업화_선진사례,기술사업화_성공사례"
20170601,한국경제,[스트롱코리아 포럼 2017] 김기세 딜로이트 USA IoT(사물인터넷) 전략총괄,"iot,건물_얘기,한국_회사,딜로이트_건물,개인_정보,미국,한국,소비자,정책_얘기,딜로이트_네덜란드_건물,정보_공유,데이터_연결성,iot_시대,하지만_센서,딜로이트,회사_업무용,데이터_오너십,상호운영성,유통_리테일_얘기,15개_정도,회사_업무용_기기,순간_개인_정보_보호,정보_보호,딜로이트_네덜란드,네덜란드,리테일,제약사,4차,바이오_데이터,16개_정도,조명_말씀,2만,순간_개인,모즌_정보,건물_소유,사람_입장,업무용,연결성,하지만,김기세_딜로이트,김기세_딜로이트_usa_iot,공급하,1세대,세계_최고,2세대,팬들,미국_사례,삼성,공간_자체,특별강연"
20170601,파이낸셜뉴스,"정세균 국회의장, 교통안전공단 방문 자율주행차 등 점검","자율주행자동차,자동차,경쟁력,경쟁력_강화,교통안전공단_방문,교통안전공단,공단_오영태,조정식_국회,4차,정세균,1일_교통안전공단,경쟁력_강화_방안,국가_경쟁력,1일_정세균,김채규,국토교통부,교통안전공단_방문_자율주행차,연구진,이날_정_의장,최우선,자율주행자동차_개발_현황,공단_오영태_이사장,조정식,조정식_국회_국토교통위원장,안전성_강화,김채규_국토교통부,청년_연구진,오영태,국가_경쟁력_확보,1일_정세균_국회의장,김채규_국토교통부_자동차관리관,청년_연구진_육성,정세균_국회의장,위원장,이원욱,cynical73,국회의원,화성시장,채인석,일자리,편리성,자동차관리관,주력산업,입법사항,교통수단,산업혁명,국토교통위원장,국회의장,이원욱_국회의원,채인석_화성시장"
20170601,파이낸셜뉴스,"4차 산업혁명, 인공지능 열풍 수혜주로 삼성·LG·네이버 '주목'","인공지능,구글,네이버,자체_인공지능,구글_입장,삼성전자,인공지능_솔루션,한화투자증권,반도체_업체,자체_솔루션,반도체,인공지능_열풍,자체_인공지능_엔진_빅스비,자체_인공지능_개발,하드웨어,자체_ai,자체_ai_솔루션,빅스비,이용한_자체,신기술,lg전자_입장,미국,신기술_투자,lg전자,구글_딥마인드,연구원,구글_홈_연동_서비스,기준_레벨,하이엔드_가전,전략적_파트너,반도체_업체_수익성,이순학_한화투자증권_연구원,이순학_한화투자증권,인공지능_시대,인공지능_열풍_수혜주,미국_자동차공학회_기준_레벨,하드웨어_단말_사업,서버용,7만,하드웨어_단말,이용한_자체_생태계,4차,하이닉스,긴급시_사람,세트_업체,연동_서비스,긴급시_사람_운전자,운전자,ai,1일_삼성전자"
20170601,YTN,"박춘란 교육차관 ""신뢰받는 교육부 될 것""","교육부,박춘란_교육부,박춘란,박춘란_교육부_신임_차관,고교학점제,국가_책임,산업혁명,4차,교육_분야,신임_차관,박춘란_교육차관_신뢰,4차_산업혁명,국가_책임_강화,문재인_정부,4차_산업혁명_시대,박춘란_교육차관,국민_비난,취임식,문재인,세종청사,고교학점,민주주,교육철학,정부세종청사,교육민주주,학교_현장,교육,차관,정부,책임,국가,신뢰,국민,강조,학교,학점,질타,가슴,교실,중요,고교,시대,적용,비난,관행,회복,철학,실현,최선,약속"
20170601,경인일보,4일 과천서 '드론데이' 레이싱대회 열린다,"드론,드론_레이싱,레이싱_대회,현장_드론,과천,드론데이_행사,제2회_과천_드론데이_행사,레이싱_대회_이외,경주,드론_시뮬레이터,미니_드론레이싱_대회,현장_드론_미니게임,드론비행_미션_체험,4일_과천,과천시,드론레이싱_대회,과천_드론데이,fpv_레이싱,드론데이,행사_하루,제2회_과천,미니_드론레이싱,체험부스,드론비행_미션,부스,자동차_경주,레저_발굴,과천시_관계자,방문객,산업혁명,방문객들,박진감,선수들,비행체,고글,첨단기술,조종법,4차,장애물,미니글라이더,중학생,관문체육공원,행사장,결승선,예선전,사람들,조종자,자동차,fpv,자리매김"
20170601,파이낸셜뉴스,"文 일자리 정책 드라이브...재계 쉬쉬 반대, 야당 추경 반대 공동전선 구축","일자리,공공_일자리,일자리_추경,비정규직,강화_일자리,일자리_정책,일자리_로드맵,공공_일자리_창출,일자리_위원회,공공부문_비정규직,일자리_창출,대기업,일자리_추경안_반대,공공부문,대통령_직속_일자리_위원회,정규직_전환,정규직,정규직_전환_로드맵,일자리_추가경정예산,부위원장,일자리_추경안,반대_공동전선,로드맵,대기업_부담금,야당_추경,하지만_정부_정책,부담금,대기업_부담금_부과,비정규직_부담,대통령_직속,위원회,4차,산업혁명,5년_로드맵,정책_드라이브,일자리_기초질서,4차_산업혁명_위원회,하지만_정부,실태조사,4차_산업혁명,일자리위원회,공동전선,文_일자리_정책_드라이브,부담금_부과,문재인_대통령,일자리_추가경정예산_통과,국회_처리,비정규직_사용사유,반대_입장,공공부문_비정규직_대책_tf"
20170601,매일경제,스타트업과 상생 생태계…삼성SDS 솔루션페어 개최,"삼성sds,파트너사,중소기업,솔루션_페어,10개_업체,업체_관계자,60여,국내외_우수_파트너사,솔루션_사업,국내외_파트너_업체_관계자,솔루션_발굴,40개_업체,홍원표_삼성sds,2년_동안_10개_업체,해외_업체,4차,산업혁명,상생_비즈니스,대기업,서울,잠실,솔루션들,중소기업_간_실질적,솔루션페어_개최,4차_산업혁명,홍원표,60여_개_기업_500여,홍원표_삼성sds_솔루션사업부문장,관계자,서울_잠실,4차_산업혁명_시대,가상현실,기업_500여,지난달_26~31일,증강현실,사물인터넷,생체인증,클라우드,첨단운전지원시스템,중요성,기술_관련_솔루션들,삼성,기획자,상생_생태계,인공지능,52건,상품기획자,3회,산업_분야,사업부"
20170601,매일경제,"윤경림 VR협회장 ""한국 VR 경쟁력 글로벌 1등 수준""","vr,vr_시장,vr_콘텐츠,한국,한국_vr,윤경림,vr_콘텐츠_레이턴시,1등,헤드셋,vr_시장_활성화,실감형_미디어_콘텐츠,4차,레이턴시,협회장,5세대,헤드셋_경량화,1등_수준,이슈도,대기업,레이턴시_이슈도,만큼_정부,실감형_미디어,경량화,헤드셋_무게,상암,4차_산업혁명,2019년_5세대,서울,이동통신,미래융합사업추진실장,영화제,다양화,마중물,사업추진실장,5g,사람들,통신망,세계시장,내년께,스타트업,만큼,지연성,윤경림_한국vr산업협회장,윤경림_vr협회장,서울_상암,kt,가상현실,산업혁명,경쟁력,제작_능력"
20170601,한국경제,"[BIZ Success Story] ""4차산업 파고 함께 넘자""…첨단소재 내놓은 상아프론에 '협업 러브콜'","회원사,협회_회원사,융복합,4차,atc협회_회원사,불소수지_분야,참여_기업,하지만,천안,불소수지,atc협회,4차_산업혁명,한국_산업,마프로,협회_종합페스티벌,부스,세계_일류,91개_업체,빅데이터,제품_출품,창성,산업혁명,매출_대비,에이스기계,세계_일류상품,한국,협업_상담실_운영,r&d_인력,91개_업체_전시부스,2003년_협회,불소수지_멤브레인,재료_최고기술책임자,기업들,첨단_부품,eptfe_제품,멤브레인,협업_상담실,상아프론테크,협업_가능성,스마트센서,로보티즈,2차,27곳,융합_가능성,로보티즈_에이스기계,한국_기업들,종합페스티벌,만큼,대주,반도체"
20170601,한국경제,"[한경 BIZ School] 농정원 국제통상협력처, 파프리카 수출지원 활동","농정원,파프리카,농정원_임직원,임직원,스마트팜,안미리마을,정윤용_농정원,이날_스마트팜,사회공헌_활동,협력처,파프리카_수출지원_활동,스마트팜_기술_소개,마을_주변,농촌_환경,제통상협력처_임직원,농촌_일자리,농번기_일손,이날_스마트팜_기술,출해,제통상협력처_임직원_13명,정윤용_농정원_국제협력처장,농번기,파프리카_1699t,정윤용,고품질,파프리카_수출지원,강원,일자리,마을_주변_청소,농번기_일손_돕,농촌_환경_조성,농촌_일자리_창출,대화면_안미리마을,강원_평창군_대화면_안미리마을,안미리마을_오대영농조합법인,도농_간_연계,수산식품,농정원_국제통상협력처,농림수산식품교육문화정보원,귀농인,산업혁명,후계농들,일본,다양한,강원_평창군,국내외_선진_사례,수출_경쟁력,박철수,평창군,30대"
20170601,파이낸셜뉴스,"신동빈 롯데그룹 회장, 식품분야 4차 산업혁명 시동","롯데_식품,롯데,롯데그룹_식품,준공_식품_미래,준공_식품,롯데중앙연구소_여명재,롯데그룹,롯데_식품_계열사,롯데중앙연구소,서울,롯데중앙연구소_여명재_소장,롯데중앙연구소_준공식,연구소,전진기지,롯데_어린이,준공식,신제품,1일_서울,미래_먹거리,롯데r&d센터_준공식,신동빈_롯데그룹,식품_제조,식품_연구개발,그룹내_식품,롯데그룹_식품_컨텐츠,계열사,서울_마곡산업단지내_롯데중앙연구소,전진기지_역할,신동빈_롯데그룹_회장,여명재_롯데중앙연구소,소비자,뮤지엄,1일_서울_마곡산업단지,5배,건강기능성_식품,신동빈,그룹내_식품_연구개발,300여명,손문기,서울_강서구,식품_콘텐츠,서울_마곡산업단지내,마곡_롯데r&d센터,롯데마곡중앙연구소_전경_롯데,버턴,신동빈_회장,미래_성장동력,롯데_식품문화관,식품_제조_과정,미래_식품산업"
20170601,광주일보,월요일엔 지역민과 함께 ‘인문예술콘서트’,"강좌_주제,미술_이야기,강연_주제,인문학_강좌,전남대,미학_강의,인문학,조정관_전남대_교수,지역사회,판소리,광주시교육청,박진영,콜라보,시간date,천행복_교사,이대로,칸트,광주교대,김용근_동강대_교수,인문예술콘서트,정의석,광주교대_강성률_교수,정의석_인문지행_교수,심리학,조정관_전남대,국악대전,임방울,마지막_강의,인덕대,근대_철학,김수옥_교사,건반_연주,효광중_교사,월요일,이희영,최우성,4차,음악이야기,김용근,임방울_국악대전,조정관,첼로_선율,산업혁명,천행복,9월_4일,동강대,미술_작품,최우성_인덕대,판소리_한마당,임방울_국악대전_대통령상"
20170601,국민일보,이주열 한은 총재 “소득 불평등이 경제 선순환 막고 있다”,"총재_소득,경제_성장,연준,세계_경제,미국_경제,일자리,금융_안정,금리_인상,소득_불평등,미국,윌리엄스_총재,불평등,한은,경제_선순환,글로벌_경제,차례_인상,포용적_성장,금융_불균형,때_금리_인상,경제_선순환_구조,일자리_중심_소득주도_성장,이주열_한은,일자리_중심,문제점,한국은행_총재,이주열,연방준비은행_총재,잠재적_상방_요인,선순환,1순위,기준금리_인상,윌리엄스,이날_콘퍼런스,소득주도_성장,돈줄_죄기_정책,금리결정_회의,금리결정_권한,장기간_저금리_기조,차례_기준금리,일자리_창출,미숙련_일자리,산업혁명,저금리,차례씩_인상,웨스틴조선호텔,4차,리스크_요인,미국_샌프란시스코,죄기,장기간"
20170601,매일경제,[M&A 매물장터] 해외매출 90%에 다양한 영업망 車부품업체 350억에 팝니다,"인수_가능,산업자동화_부품,회사_인수,제품_제조,해외_시장,해외_매출,매출액,산업자동화,b사_제품,부품_제조업체,산업자동화_관련_부품,자동차,산업자동화_부품_공급업체,코스닥,인수_가능_금액,b사,한국,a사,코스닥_상장,매출액_성장,희망_매각가,산업자동화_제어,상장사,매각가,코스닥_상장사,해외_시장_중심,해외_매출_비중,이번주_인수,사업_시너지,e사,it_소재_제품_제조,고객사,350억,자동차_핵심,바이오업체_인수,부품_국산화,관련_부품_양산,코스피_상장사_e사,자동차_부품업체,매일경제,코스닥_상장_제약사,성장동력_확보,10여,신성장동력_확보,무선_전송_체계_구축,다국적_기업,매물장터,d사,코스피_상장사,코스피"
20170601,전북도민일보,익산거점단지 미니클러스터 통합 워크숍,"미니클러스터,기업_경쟁력,익산지사,기업_경쟁력_강화,4차,미니클러스터_통합_워크숍,회원사,미니클러스터_통합,미니클러스터_회원사,한국산업단지공단,한국산업단지공단_익산지사,관계자,오토앤일렉파트,오토앤일렉파트_융복합첨단소재_미니클러스터_회원사,커뮤니케이션_전략_특강,커뮤니케이션_전략,박웅전,한국산업단지공단_익산지사_김호범_지사장,상생협력,참가자,참가자들,유관기관_관계자,지사장,4차_산업혁명시대_기업경쟁력_강화,클러스터,유관기관,경쟁력,미래_먹거리,연구소,경영_기술_세미나,워크숍_개최,4차_산업혁명시대,기업경쟁력_강화,상생협력_시스템_구축,상호토론_형태,오토앤일렉파트_융복합첨단소재,전주한옥마을_투어,원광이엔텍,호남권,전북경제통상진흥원,전주한옥,전북,기술변화,본부장,호남,합첨단,익산,라마다,캠틱종합기술원,공동기술개발"
20170601,매일경제,"[매경의 창] 교육혁명, 시험혁명서 시작해야","객관식_시험,서울대,교육_재건,객관식,일본,선다형_객관식_시험,교육혁명_선언,인재_재건,시험문제,대한민국,시험혁명,교육혁명,대입_시험문제,학점자,문부과학성,4차_산업혁명_시대,우리나라_시험,대한민국_교육혁명,아베,서술형_시험,바칼로레아,선다형_객관식,산업혁명,4차,학생들,세계올림피아드_성적,pisa_성적,다큐프라임,4차_산업혁명,교육정책,명견만리,킹핀,아베_총리,자연과학,아베_신조,아베_신조_총리,평가_기준,노벨상,결국_변화,한국,절대평가,때_서울대_이공계_최우수학점자들,문부과학성_장관,ebs_다큐프라임,전략_프레임,ebs_다큐프라임_제작,서울대_최고학점자들,알파고,독일,아비투어"
20170601,파이낸셜뉴스,"정세균 ""국회, 미래산업에 대한 입법 선도해야""","4차,4차_산업,4차_산업혁명,산업혁명,자동차,이날_4차,정세균_국회,이날_4차_산업혁명_현장방문,1일_국회,1일_4차_산업혁명_현장방문,1일_4차,2월_4차_산업혁명_현장방문,조정식_국회,산업혁명_현장방문,2월_4차,4차_산업혁명_육성,4차_산업혁명_기본법,정세균,디지털기반_산업,교통안전공단_자동차,입법_선도,이날_현장방문,디지털기반_산업_기본법안,길병원,조정식_국회_국토교통위원장,최정호,국토교통부,이승천,인공지능기반_정밀,정성표,오일용,비서관,인공지능기반_정밀_협진진료,자율주행자동차,교통안전공단_자동차_안전연구원,협진진료,일자리,교통안전공단,기본법안,조정식,국토교통부_최정호,일자리_창출,국토교통부_최정호_차관,화성시장,미래_먹거리,전문가,시행중,위원장,이원욱,채인석"
20170601,한국경제,[취재수첩] 스타트업이 손사래 치는 정부과제,"스타트업,제출_서류,10부_제출,스타트업_b사,10부,별도_10부_제출,서류_1400장,제안서,그간_정부,별도_10부,cd,타트업,4차,신기술,b사_대표,a부처,정부사업_입찰,2개월,서류_박스,파워포인트,0장,1400장,보통_파워포인트_100장_정도,b사,1만,보통_파워포인트,스타트업_임직원들,100장_정도,사물인터넷,시대_변화,a4_용지_1400장,rdquo,태블릿,b부처가,전자조달,나라장터,벤처기업,조달청,quo,당혹감,a4_용지,ld,인공지능,요약본,클라우드,그간,손사래,스타트업들,lsquo,a4"
20170601,매일경제,혁신 아이디어 하나 둘 모이니…하찮았지만 점점 커지더라,"스타트업,양산,c랩,사내벤처,사내벤처_프로그램,사내벤처_프로그램_운영,삼성전자,삼성전자_사내벤처,지원_프로그램,사내_전문가,삼성전자_사내벤처_프로그램_총괄,혁신_아이디어,c랩_스핀오프,상무_생각,c랩_스핀오프_경험,전문가,프로그램_총괄,공용_양산,스핀오프,양산_자금_마련,양산_자금,기업_성장,분사_창업,160여,사내_전문가_멘토링,이재일,하드웨어_분야,혁신적_아이디어,스타트업_문화,이재일_창의개발센터_상무,초기_인큐베이션,초기_스타트업들,산업혁명,하드웨어_분야_스타트업들,4차,공용_양산_인프라,분사_창업_활성화,분야_기술_전문가들,기술_중심_양질,160여_개_c랩_과제,전문성,4차_산업혁명,하드웨어,대기업,인큐베이션,스타트업들,초기_인큐베이션_과정,4차_산업혁명_시대,고용_확대,기본_가치"
20170601,세계일보,"“4차 산업혁명 대비, 필요한 규제 빼곤 모두 풀어야”","위원장,국정기획위,국정기획위_김진표_위원장,국정기획위_김진표,김진표,공약_이행,산업부,최종_논의,이날_tf,중기청,회장단,지자체,경쟁력,산업통상자원부,산업혁명,정부조직_개편_방향,최종_확정,이날_한국국제협력단,정부조직_개편,개선_tf,이수훈,이날_통화,공약_이행_요청,지방분권_강화_공약,남정탁,당정협의,금융감독원,2인,홍익표,6대,서울,재협상,중앙사무_지자체,8대,시도지사협의회_회장단_면담,중앙사무_지자체_이양,시도지사협의회_회장단,더불어민주당,4차_산업혁명,외교부,4차,tf,단체장,지방분권,5일_당정협의,8대_2인,더불어민주당_홍익표,4차_산업혁명_대비,지방분권_강화,8대_2인_국세"
