일자,언론사,제목,중요키워드
20170701,세계일보,"[부동산 황소개구리④] 책임 전가, 물타기…그 다음 행보는?","직방,공정위,공정위_조치,불공정_행위,중개사,사업자,고발_조치,부동산,매물_정보,매물_차별,전속고발권,허위_매물_정보,소비자,전속고발권_폐지,공정_경쟁,허위_매물,공정위_경고_조치,부동산_애플리케이션_직방,부동산_중개,공정위_조치_본질,공정위_경고,안심중개사,공정거래법,2015년_2월_당시_직방,네이버_부동산_서비스,모바일_부동산,모바일_부동산_앱_시장,불공정,1항,위원장,공정거래법_위반,경쟁사_차별,네이버_부동산,12월_경쟁사_차별_취급,2015년_12월,직방_측_주장,경쟁사,차별_취급,경쟁사_차별_취급,부동산_중개_앱_이용약관,경고_조치,이용자,당시_직방_측,책임_전가,정부세종청사_공정위,12월_경쟁사,불공정_약관,경쟁업체_다방,부동산_중개_애플리케이션,공정위_시정조치"
20170701,헤럴드경제,"‘펀드에 부을걸…’ 올해 코스피 2400 돌파, 펀드수익률 높인다","수익률,연초이후_수익률,국내주식형,인덱스펀드_수익률,수익률_17.17%,펀드_투자자들,264개_국내주식형_인덱스펀드_수익률,인덱스펀드_수익률_20.90%,인덱스펀드,코스피,설정액,인덱스주식형_펀드,절대수익형_펀드,연초이후_6조,연초이후_코스피지수,이경수,연초이후_평균수익률,685개_해외주식형펀드_수익률,264개_국내주식형,기준_설정액,전인미답,펀드평가사,차익실현,6조,코스피지수,국내채권형,투자자,1일_펀드평가사,투자자들,평균수익률,펀드들,해외주식형펀드,1일_펀드평가사_에프앤가이드,지난달_29일,이경수_금융투자,이경수_금융투자_연구원,헤럴드,685개_해외주식형펀드,39조,헤럴드경제,상승기대,대체투자분야,관계자,차익실현_욕구,국내부동산펀드,에프앤가이드,개별종목,투자업,문영규,2400포인트"
20170701,MBC,아파트 누르자 오피스텔 '후끈'…'풍선 효과' 언제까지?,"오피스텔_시장,부동산,풍선_효과,오피스텔_풍선,대출_규제,부동산_시장,김재경,서울,오피스텔_풍선_효과,정부_대책,6.19_부동산_대책,하지만_정부_규제,박원갑_부동산,6.19_부동산,dti_규제,서울_고덕동,지난주_경기,8천,사람들,2층,하지만_정부,박원갑_부동산_위원,박원갑,은행_대출,6·19_대책,하지만,고덕동,지난주_경기_김포,때_주택_소유_여부,소유_여부,오피스텔_분양시장,송도,인천,안내선,국민은행,mbc뉴스_김재경,dti,부산,분양업체,이지숙,25대,모델_하우스,인천_송도,김포,전매_제한,풍선효과,이달_3일,청약_경쟁률,kb,mbc"
20170701,영남일보,野 “조대엽 부적격” 맹폭…與 “정책검증” 엄호,"후보자,장관_후보자,조대엽,인사청문회,5대,조대엽_고용노동부_장관_후보자,정책_검증,논문표절_의혹,표절_의혹,보고서,부적격,사외이사,민주당_이용득_의원,민주당,의원들,여야_의원들,야당_의원들,영리활동_의혹,청문회,자유한국당_장석춘_의원,김상곤,후보자_자녀,고려대,한국당_문진국_의원,바른정당_하태경_의원,국민의당_이상돈_의원,사외이사_겸직,논문표절,사외이사_등재,고성,정책_검증_위주,조대엽_고용노동부,도덕성,고용노동부_장관,연구용역_보고서,자료_협조_수준,1억,문재인정부,학적기록부_수시,서울,학적기록부_수시_평가기록,평가기록,자료_협조,8건,반면_민주당_의원들,30일_진행,1박,전문성,여당_의원들,민주당_이용득"
20170701,매일경제,[MK 시황] 서울 3.3㎡당 매매가 2000만원선 마저…,"재건축,서울_재건축_아파트_가격,500만,서울_아파트,아파트_가격,서울,서울_재건축,재건축_단지,1000만,구미동_아파트_가격,2000만,하남_지역,하남,소폭_상승,과천,서울_노원_재건축_기대감,서울_노원,구미동_아파트,서울_아파트_매매가격,재건축_기대감,서울_3.3,광명,매매_거래량,서울_재건축_매매가격_상승률,강동구_재건축_시장,신도시,거래량,경기_과천,강동,강동구_재건축,호계동,둔촌동,하남_지역_전세,부동산_시장,재건축_이주수요,1500만,교문동,상승률,중구,노원,달간_서울,아파트_매매가격,둔촌동_주공,0.02%_하락,인천,동탄,동작,매매_거래,2주,부동산"
20170701,헤럴드경제,세계 최초 상하좌우 이동 엘리베이터 ‘등장’…건축 디자인에도 영향,"엘리베이터_multi,multi,엘리베이터_로프,수평_이동,multi_공개,티센크루프엘리베이터,운행_제품_공개,승강로,운행_제품,고층_건물,엘리베이터_등장,로프_방식,티센크루프,독일,쉬어렌벡,상하좌우_이동_엘리베이터_등장,신개념_엘리베이터,160년_엘리베이터,엘리베이터_multi_런칭,부동산,사이드_타워,건축_설계,베를린_이스트_사이드_타워,이스트_사이드_타워,multi_공개_행사,설계_방식,독일_베를린,베를린,독일_로트바일,상하좌우_이동,이스트_사이드,초고층_건물,8개_건물,리니어,아모레퍼시픽,160년_엘리베이터_역사,세계_승강기,베를린_이스트,설치_실적,건축_전문가,카가_운행,로트바일,상용화,2020년_완공_예정,티센크루프엘리베이터_ceo,공개_행사,건축_디자인,리니어_모터,특허_제품,아모레퍼시픽_신축"
20170701,경인일보,"강화된 대출규제, 뛰는 집값 잡을까… 물가도 관심","부동산,부총리,지난달_19일_강화,일선_대출,한국은행_총재,장바구니_물가,정상회의,지난달_19일,생활물가,현행_60%,한국은행,서울,대출_신청,5일_출국,생활물가_안정,경기_흐름,dti_50%,김동연_부총리,날_이주열_한국은행_총재,일선_대출_창구,정상회의_참석차_5일_출국,청약조정지역,경제_상황,스티븐,장바구니_물가_추이,재무장관,닭고기_가격_상승,닭고기,가능성,기준금리_인상,기준금리_인상_가능성,관계부처,김동연,입주자,이주열,5월_소비자물가,소비자,경기_흐름_진단,장바구니,dti,닭고기_가격,지난달_취임,입주자_모집,대출규제,달_19일_관계부처,스티븐_므누신_미국_재무장관,해외_경제외교,정상회의_참석차,현행_70%,경제동향_7월"
20170701,매일경제,알면 `약`되는 부동산 제도…하반기 어떻게 바뀌나,"부동산,내진설계,부동산_대책,부동산_시장,재건축,개정안_시행,서울,부동산_제도,조합원,포상금,적용_대상,내진설계_적용,부동산_경기,부동산_실거래,개정안,내진설계_적용_여부,건축물,종전_소유_주택,소유_주택,전국_확대_시행,6.19_부동산_대책,재건축조합원_주택,포상금_지급,내진설계_의무_대상,의무_대상,집주인,내진설계_의무,서울_분양권,내진_설계_의무_대상,6.19_부동산,시행령_개정안,공인중개사,재건축조합원_주택_공급,dti_규제_비율,입주자_모집,설계_대상,dti_규제,입주자,시행령,분양권,경우_7월_3일,공동주택,전국_확대,신규_분양_아파트,실거래,신규_적용,종전_소유,과밀억제권역,과밀억제권역_여부,종전_완화"
20170701,YTN,대출규제 강화 직전 '막차 분양' 열기 후끈,"아파트_분양,서울,아파트_분양_시장,아파트_분양_물량,막차_분양,대출_규제,대출_규제_강화,6·19_대책,부동산_대책,6·19_부동산_대책,강진원,막차_분양_물량,부동산,대출_규제_적용,아파트_견본,아파트_견본_주택,6·19_부동산,부동산_추가_대책,가계부채_대책,주택_시장,여름_분양,서울_전역,분양권_전매,아파트_분양소장,입주자,대단지_아파트,아파트_견본주택,무이자,서울_강동구,서울_용산구,부동산_추가,7월_3일,가계부채_대책_발표,국토교통부,중도금_대출,여름_분양_비수,용산,천7,분양권_차익,대출_절벽,아파트_견본주택_방문객,입주자_모집,막판_청약_열기,ytn_강진원,직전_막차,초역세권_입지,최대_규모,국토교통부_장관_지난달_23일,총부채상환비율,입주자_모집_공고"
20170701,한국일보,[홍콩 반환 20주년] 중국 품에서 20년… 광채 잃은 ‘동양의 진주’,"홍콩,중국,홍콩_반환,실제_홍콩,유인물,중국_공산당,홍콩_시내,일국양제,중국인,공산당,홍콩섬,당장_홍콩,컨벤션센터,하지만,홍콩_주권,홍콩섬_컨벤션센터_인근,부동산,홍콩섬_컨벤션센터,홍콩대,지하철_유인물,홍콩인,실제_홍콩_정부,당장_홍콩_반환_20주년,실제_중국계,홍콩_사람들,하지만_선전,15세,컨벤션센터_방향,사실상,스테판,에바,중국_광둥,1997년_7월,주권_반환,60대_여성,사회_양극화,부동산_가격,홍콩대_교내_풍경,홍콩대_교내,30대_중반,정도_생각,30대_직장인,5분_정도,게시판,도서관,뒤편,옆_홍콩계_은행,홍콩_사람들_눈치,벤자민,기둥"
20170701,MBC,"[아침 신문 보기] ""차라리 죽어서라도… 4㎡ 쇠감옥서 탈출하고 싶어요"" 外","미국,가상_사이,곰들,돌잔치,홍콩,홍콩_반환,인기_장소,게시물,인기_캐릭터,비자_발급,게시물_삭제,5월_미국_정부,웅담_채취,연예인,주권_반환,미국_유학,5월_미국,직장인들_사이,20대_사이,학부모들_사이,홍콩_반환_20주년,가상_캐릭터,과거_소셜,1인,비자_발급_심사,비자_발급_때,대다수,5백만,게시물_삭제_바람,소셜,주권_반환_당시,줄무늬,관련_기획_기사,미국_유학_준비생,웅담_채취용,과거_소셜_미디어,최소_보증,돌잔치_규모,소득분배_정도,욕구_해소,최소_보증_인원,웅담_채취용_곰,평소_해소,전문_업체,수험생,삼디다스,반항기,인간관계,삼선슬리퍼,전문가"
20170701,서울경제,[뒷북경제] 가계부채? 가계로 날아온 정부의 경기부양 청구서,"가계부채,경기_부양,경제_성장,우리나라_경기,가계부채_대책,박근혜_정부,우리나라,부동산,부채_주도_성장,가계빚,소득_주도_성장,경제_성장_전략,경기부양,가계부채_폭증,경제_구조,부동산_규제,부동산_규제_완화,단기_경기부양,부채_주도,가계부채_총량,소비_증가,가계부채_위험,경제_핵심,경기부양_카드,박근혜,일괄_부채,건설투자,소득_주도,소비_위축,소비_감소,대로_단기_경기부양_카드,건설경기_부양,가계빚_실탄,우리나라_경기_회복,성장_전략,경제_구조_개혁,6월_19일_정부,소비_제약,박근혜_정부_출범,사람들,dti_규제,김대중_정부,경기부양_청구서,이명박_정부,경제_규모,박근혜_정부_시절_추진,세계_경기,일자리,부작용,대로_단기"
20170701,서울경제,창원 KTX 중앙역 인근 유동인구 증가… 신상권 형성 기대감,"창원,창원시,창원_중앙역,부동산,중앙역,1만,창원중앙역,중앙역_인근,창원중앙역_인근,창원_ktx_중앙역_인근,창원중앙역_승하차,스트리트몰,5천,1만_5천,창원시_마산역,더스퀘어,8개,창원_ktx,공공기관,창원ktx_중앙역_인근,공공기관_근처_상가,유동인구_증가,스트리트몰_상업시설,한양대,마산역,1위,문화_공간,투자자,입주_규모,상업시설,광역전철,창원ktx_중앙역,창원_시내,공공기관_근처,5개_구역_입주_규모,부산,초대형_쇼핑_문화_공간,기대감,개통시,김해,유동인구,창원중앙역_승하차_인원,2020년_6월,인구수,1만_5천_100여,2020년_기준_하루_1만,2020년_기준,오피스텔_718실_규모,현대썬앤빌창원_더스퀘어,광역전철_개통시_부산"
20170701,한국경제,"""대출규제 전 청약""…모델하우스 '북적'","모델하우스,스퀘어_모델하우스,정부_규제,인천,수도권_지역_모델하우스,스퀘어,용산,수도권_지역,분양권_전매,서울,대출_규제,이날_수도권,고덕_센트럴,센트럴파크_해링턴_스퀘어_모델하우스,6·19_대책,분양권_전매_제한,정부_규제_대상,6·19_부동산_대책,1만,현대산업개발,성재호,한여름을,청약자,6개월,용산_센트럴파크_해링턴_스퀘어,포스코건설,경기_고양시,경기_파주,6·19_부동산,부동산,용산_센트럴파크,랜드마크시티_센트럴,고덕,정부_단속,센트럴파크,고덕_센트럴_푸르지오,인천_송도국제도시,30일_전국,예비_청약자,성재호_포스코건설,이날_2만,해링턴_스퀘어,30일_전국_14곳,성재호_포스코건설_분양소장,중개업소,원흥역,문산역_동문,삼송,푸르지오시티_오피스텔,떴다방"
20170701,YTN,"김동연 ""부동산대책, 과열 지역 안정에 효과""","부총리,부동산,협동조합,김동연_부총리,김동연,부동산_대책,6.19_부동산_대책,6.19_부동산,미국,기념식,부동산_상황,고양시,과열_지역,미국_금리,경기_고양시,과열_지역_안정,미국_금리_인상,경기_고양시_킨텍스,차유정,성장률,취약계층,일자리,실수요자,킨텍스,기자들,협동조합_12곳,대안_시나리오,제때_통과,기획재정부,취약계층_지원,일자리_창출,김동연_부동산대책,대외_여건,차유정_chayj,chayj,효과,대책,과열,금리,경기,지역,대응,시나리오,추경,대안,방향,통과,수여,조금,창출"
20170701,한국일보,[홍콩 반환 20주년] 무역ㆍ금융ㆍ관광서 대륙 영향력 막강,"홍콩,중국,중국_본토,홍콩_증시,영향력,푸통어,광둥어,1997년_중국_본토,중국인,대륙_영향력,홍콩_증시_투자액,1997년_중국,관광_홍콩,홍콩_여성,근래_홍콩,정거장,침사추이,관광객,본토_자본,중국_광둥,중국_색채,대륙_영향력_막강,홍콩섬,3명,7억,본토_남성,普通,헛소문,최남단역,대중국,공공시설,쇼핑센터,홍콩섬_최대,증시_투자액,투자액,1층_매장,경제_규모,홍콩섬_최대_번화가,홍콩도심_침사추이,관광객_4명,정거장_앞_판링,중국_갑부들,중학생,총생산,지상역사,차이나,落馬州,개발도상국,청킹,현금다발"
20170701,서울신문,불볕더위보다 뜨거운 용산 청약열기,"용산,서울,부동산,스퀘어,모델하우스,용산_센트럴파크,용산_센트럴파크_해링턴_스퀘어,6·19_부동산,이날_모델하우스,6·19_부동산_대책,서울_용산구,해링턴_스퀘어,청약_열기,시민들,8000여명,주차장,해링턴,센트럴파크,용산_청약열기,용산구,불볕더위,하우스,이날,모델,청약,시민,방문,열기,대책"
20170701,한국경제,[인사] LG히다찌 ; 특허청 ; 기상청 등,"대학장,본부장,대학원장,관리부,자산부,기상청,지역본,이용희,문명진,특허청,력본부,배동식,류명석,력본부_대외협력처장,대외협력처장_류명석,울동부,히다찌,재도약,심판관,박인식,손승우,울원자력본부,조명선,경영지원처장,부장_하상호,부장_김은광,부장_권오민,2건설,력본부_대외협력처장_부성준,심판관_조명선,수치자료응용과장_이용희,자연과학대학장_문명진,심판관_조명선_이영민,성장처장_배동식,도서관장,양희만,이우수,최명선,청년창업사관학교,연수원장,분당서울대병원,관절센터장,호남,경기남부,안홍찬,이화균,호남연수원장,전북,센터장,인천"
20170701,SBS,"부동산 시장 '들썩'…'집값, 또 오를까' 마음 급한 서민들","부동산,부동산_시장,부동산_시장_집값,대한민국_부동산_시장,서울,대한민국_부동산,부동산_중개업소,갭투자,6.19_부동산,정부_출범,재건축단지_주변_부동산_중개업소,서울_강남권,대한민국,서울_강남_재건축_시장,부동산_정책,재건축_시장,뉴스토리_집값,시장_안정화,6.19_부동산_대책,강남권,138회_sbs_뉴스토리_집값,서울_강남권_아파트값,서울_강남,재건축단지_주변,동세호,도미라,투자수단,하지만,한몫,대학생,상승률,뉴스토리,서민들,138회_sbs,합동단속,강남,상승세,아파트값,재건축,2억,분양시장,sbs,집중_조명,시세_차익,안정화,연일_폭등,이혜린,pd,시장,집값"
20170701,국제신문,부산 아파트값 주춤…6·19 대책 약발 받나,"6월_마지막,부산,상승세,상승률,5월_마지막,부산_평균_상승률,부산_평균,6월_마지막_주,부동산,5월_마지막_주,6·19_부동산_대책,6·19_대책,6·19_부동산,하락세,가격_상승률,동래구,결국_마지막,0.1%_이상_상승,해운대구,부산지역_아파트_가격_상승률,하락세_반전,결국_마지막_주,일광,아파트_매매,동래구_해운대구,동래구_해운대구_기장군,상승_요인,기장군,청약조정지역,0.11%_상승,부동산_규제,보합세,사하구,부산지역_아파트,부산_아파트값,하락세_반전_여부,대책_약발,지역별_상승률,분양시장_강세,한국감정원,주택구매_부담,주택구매_부담_심리,솔렉스마케팅,김혜신,부동산_규제_신호,주간_아파트,3개월,가격_동향,동래_전세,하락_반전"
20170701,세계일보,[S스페셜 - '우주' 이야기] (19) “달을 분양한다고?”…웃어넘길 수 없는 소유권 경쟁,"미국,유엔_우주,대사관,소유권,미국_회사,우주_천체조약,1967년_우주,달_탐사_경쟁,소유권_경쟁,2025년_달_탐사,소유권_소송,한국_회사,한국,세계_각국,각국,유엔_우주_천체조약,국가_활동,평화적_이용,각국_정부,엠버시,1967년_우주_천체조약,남극,아폴로,3만,영화배우,우주_굴기,토지소유권,성조기,양도증명서,2048년_조약,영토분쟁,하지만,태양계,1980년_데니스_호프,우리나라,탐사선,주권_행사,구매자,우주개발,데니스,1980년_데니스,특정_국가,1969년_미국,데니스_호프,우리나라_이름,역사_속_영토분쟁,외견상_평화,개인_아이디어,중동,성탄절"
20170701,디지털타임즈,"서울사이버대학, 다양한 커리큘럼으로 재학생의 가치 향상에 주목","사이버대,서울사이버대,재학생_대상,자격증,신입생_대상,재학생,문화예술경영학과,창의적_콘텐츠,옹알스,경영학,조신영,자격증_취득,신입생_대상_장학_전형,신입생,서울사이버대학교,강기호,제작학,전공_관련_자격증_취득,콘텐츠기획,모바일_강의,논버벌,6주,행정학,창의적_콘텐츠_전문가,법조인,스마트폰,대한민국,지원_가능,법무행정학,사이버대학,4학기,김진희,서울사이버대_법무행정학과,2017년_서울사이버대학교_콘텐츠기획,학생맞춤_1년_4학기,학과별_자격증,법학_학점,학생맞춤_1년,장학_전형,문화예술경영학과_2014년도_졸업생_강기호,2017년_서울사이버대학교,학과별_자격증_대비반,모바일_강의_서비스,졸업생_강기호,논버벌_퍼포먼스팀_옹알스,1위,조준우,저성장,프로듀서상,매력적"
20170702,서울경제,오늘부터 LTV·DTI 강화...주말 모델하우스 북적,"모델하우스,dti,ltv,dti_50%,모델하우스_북적,해링턴,서울,잔금대출,ltv_규제,아파트_잔금대출,청약자,주택담보인정비율,센트럴파크_해링턴,부동산,서울_용산,이주비,센트럴파크,중도금,용산,스퀘어,청약조정지역_40곳,지난주_모집공고,2일_예비청약자들,강화,대출,북적,비율,하우스,규제,모델,잔금,아파트,지역,조정,청약,주택,예비,담보,대책,부채,모집,축소,정부,인정,상환,공고,적용,주말,입장,ltv·dti_강화"
20170702,서울경제,"[막 오른 초대형IB 시대]""각 분야 전문가 영입…벤처·中企 동반자 될 것""","삼성증권,본부장,ib_고객,ib,전문가,리스크_관리,금융_전문가,유동성_자산_관리,유동성,유동성_자산,발행어음_전략,4차,산업혁명,ib_조직,삼성증권_ib본부,초대형_ib,ib_업무,발행어음,4차_산업혁명,리테일부문_고객,초대형_ib_롤_모델,고객_맞춤형,만큼,분야_전문가_영입,고객_맞춤형_상품,약학_전문가,분야_전문가,2008년_9월_리먼브러더스_사태,4차_산업혁명_시대,리테일,기업금융관련_자금,융합_모델,유동성_비율,마케팅_인력,2008년_9월,마케팅_인력_가운데_상당수,리먼브러더스_사태,삼성증권_ib본부장,자산관리영업_균형,모험자본,기계공학,성장성,금융시스템_혜택,중소기업,신원정,중견기업,카이스트,신규사업,부동산,벤처기업"
20170702,서울경제,"""막차타자"" 모델하우스마다 수만명 몰려…매매시장은 '관망'","예비_청약자,3만,공인중개사,서울,대책_발표_직후,2만,000만,아이파크,모델하우스,급매물,가격_상승,관망세,000만,적용_대상,서울_노원구,분양_단지,용산구,잠실,2일_부동산_업계,인천,개포,랜드마크시티,개포동,용산센트럴파크해링턴스퀘어,가격_조정기,견본주택,고덕,분양권_시장,고덕_센트럴_아이파크,노원구,가격_상승_여부,인기_지역,청약자,2주,비인기_지역,부동산,고급_주상복합_아파트_용산센트럴파크해링턴스퀘어,매매시장,000명,강남구,8월_정부,강화전_막차,대출_규제_강화전_막차,서울_노원구_월계동,아파트_용산센트럴파크해링턴스퀘어,불법_투기,책_발표_직후,고덕_센트럴,40개_조정,강남구_개포동"
