ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
2318,31,5,129,95814,3,5.9,3,319,1,1,1,0,1
1855,52,25,41,95403,3,1,2,0,0,0,0,1,0
2224,53,28,74,91711,3,2,2,0,0,1,0,0,0
2149,54,30,58,92007,2,3.2,3,0,0,0,0,0,0
282,57,31,65,94118,4,2.6,3,0,0,0,0,0,1
2321,46,22,84,92692,4,2,3,0,0,0,0,1,0
340,39,13,89,92110,4,1.4,2,0,0,0,0,0,0
2047,43,16,161,95134,3,8,2,0,1,0,1,1,1
1837,44,19,74,90041,4,1.9,3,0,0,0,0,0,0
1726,57,32,19,95348,1,1.3,1,0,0,0,0,1,0
1902,43,19,201,94305,2,6.67,1,0,0,1,0,1,0
949,30,4,81,92037,1,2.9,3,259,0,0,0,1,1
512,31,5,82,94143,4,2.2,2,0,0,0,0,0,0
1040,41,16,175,94304,2,1.1,3,0,1,0,0,1,0
375,30,5,98,91941,2,3.1,1,220,0,0,0,1,0
1784,53,27,192,94720,1,1.7,1,601,0,0,0,1,0
2312,62,37,115,90245,4,3.4,2,0,0,0,0,1,1
613,65,40,129,90095,1,1.3,1,0,0,0,0,1,1
1514,45,21,183,95211,2,1.4,1,354,0,0,0,0,0
1511,57,32,33,95747,2,2,2,0,0,0,0,1,0
725,64,38,92,94086,1,2,1,0,0,0,0,1,0
112,62,38,45,94143,4,1.3,2,0,0,0,0,1,0
2175,30,5,123,95605,2,3.1,1,0,0,0,0,1,0
683,58,34,12,90504,1,0.1,2,0,0,0,0,0,1
2135,50,24,68,95821,1,1.5,2,120,0,0,0,1,1
2445,60,35,38,94701,3,0.5,2,0,0,0,0,1,1
1550,57,31,45,94305,3,1.4,1,198,0,0,0,1,0
451,51,25,69,95747,1,0.3,1,0,0,0,0,1,1
2364,39,13,61,90095,2,2.4,2,90,0,0,0,1,0
1707,56,31,84,92672,1,0.1,3,0,0,0,0,1,0
1358,55,29,53,95134,1,1.4,1,0,0,0,0,0,0
2374,33,9,184,94304,2,4.8,2,0,1,0,0,0,0
2129,65,40,40,94104,1,1.1,3,0,0,0,0,0,0
1922,45,21,63,95621,1,0.8,3,245,0,0,0,1,1
1631,41,17,99,92096,2,1.8,2,0,0,0,0,1,1
687,24,-1,38,92612,4,0.6,2,0,0,0,0,1,0
607,34,8,81,91741,3,0.9,2,208,0,0,0,1,0
2433,54,30,45,92182,4,0.9,2,0,0,0,0,0,1
2356,56,31,74,94920,3,1.6,3,0,0,0,0,1,1
2119,31,5,125,91320,2,1.3,1,0,0,0,0,1,1
1456,63,39,160,91330,2,2.1,1,0,0,0,0,0,1
39,42,18,141,94114,3,5,3,0,1,1,1,1,0
1003,46,20,85,95617,2,0.4,3,0,0,0,0,0,0
2143,55,31,62,93943,4,1.5,1,0,0,0,0,1,0
1035,49,23,84,90095,3,2.1,1,134,0,1,0,1,0
846,44,17,29,94706,3,1,2,0,0,0,0,1,1
2347,52,26,59,92660,2,1.5,2,239,0,0,0,0,1
447,47,23,22,93108,1,1,1,0,0,0,0,0,1
1868,65,39,21,94553,2,0.4,1,0,0,0,0,0,0
1983,58,33,18,94701,3,0.1,2,110,0,0,0,1,0
256,66,40,42,92103,2,0.7,3,138,0,0,0,0,1
2246,54,28,33,94111,2,0.7,2,0,0,0,0,0,1
1914,57,33,134,92110,4,0.9,1,198,1,0,0,1,0
1436,43,17,55,90266,1,0.2,1,0,0,0,0,1,0
676,29,2,33,91711,1,2,2,160,0,0,0,0,0
133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0
596,42,18,41,92121,1,1.8,1,94,0,0,0,1,0
1010,28,3,25,91330,2,0.9,3,140,0,0,0,1,0
1316,49,25,53,95134,2,1,3,181,0,0,0,0,0
1527,36,10,80,94608,4,2.2,2,0,0,0,0,1,0
2294,42,17,14,91768,2,0.1,2,0,0,0,0,1,0
522,48,24,75,92518,4,1.4,2,0,0,0,0,1,0
59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0
1175,36,10,42,93106,4,1.2,2,0,0,0,0,1,1
370,31,6,58,95051,2,2.5,1,0,0,0,0,0,1
1113,52,28,51,94949,1,1.6,3,0,0,1,0,0,1
1920,38,13,19,92069,2,1.4,2,120,0,0,0,0,1
1818,36,11,9,94604,4,0.2,3,0,0,0,0,0,1
1116,51,24,84,94117,3,2,2,0,0,0,0,0,0
2188,54,30,40,90024,2,1,3,0,0,0,0,0,0
794,24,-2,150,94720,2,2,1,0,0,0,0,1,0
1223,61,37,20,90011,3,0.4,2,94,0,0,0,0,0
835,36,12,150,95138,4,5.4,1,0,1,1,1,1,0
1517,41,17,49,92130,4,2.2,2,0,0,0,0,0,0
271,60,36,63,94063,4,2.2,1,0,0,0,0,1,0
1310,38,14,71,95136,4,2,3,0,0,0,0,0,0
496,25,0,44,94545,4,0.6,2,0,0,0,0,1,1
866,60,34,22,92037,3,0.3,3,139,0,0,0,1,1
2092,31,4,41,91360,1,2,2,0,0,1,0,1,0
1570,51,27,44,94305,3,1.9,2,141,0,0,0,0,0
1657,40,15,175,92646,2,3.3,1,0,0,0,0,1,0
2217,64,40,89,94707,1,3.8,1,0,0,0,0,0,0
1765,45,21,44,94596,3,0.6,2,0,0,0,0,1,0
357,56,30,24,94704,2,0.4,3,88,0,0,0,0,0
1122,30,6,49,91330,3,0.7,2,196,0,0,0,0,1
14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0
1173,49,24,45,92104,3,1.7,2,0,0,1,0,1,0
356,43,19,71,92101,3,0.3,3,0,0,0,0,0,1
409,60,36,89,91745,2,2.8,1,0,0,0,0,1,0
113,40,15,82,91775,3,1,1,309,0,0,0,0,0
336,56,32,122,95827,2,0.3,1,360,0,0,1,1,1
1608,55,29,21,92028,4,0.7,3,0,0,0,0,0,0
562,63,33,41,94234,4,1.67,3,0,0,0,0,1,0
2399,53,29,90,95053,2,0.3,1,217,0,1,0,0,1
1184,50,25,35,94105,3,1.7,2,0,0,0,0,1,1
2404,38,13,140,90210,4,0.5,1,0,1,0,0,0,0
1403,55,29,172,95064,1,5.2,2,0,1,0,0,0,0
166,27,1,43,94706,1,1.5,1,0,0,0,0,1,0
1450,63,37,109,90740,1,2,1,0,0,0,0,1,0
1219,62,36,98,92122,2,2.8,1,0,0,0,0,0,0
215,54,28,94,90291,1,1.9,2,0,0,0,0,0,0
1204,62,37,50,91311,3,2.4,1,0,0,0,0,1,0
820,56,30,45,90024,4,1.5,3,0,0,0,0,0,0
48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
1812,28,3,11,94534,4,0.5,3,0,0,0,0,0,0
79,54,30,133,93305,2,2.6,3,0,1,0,0,0,0
198,55,31,9,91345,4,0.7,1,89,0,0,0,1,0
1776,46,22,73,91360,1,0.8,3,117,0,0,0,0,0
1412,65,39,184,91302,1,5.4,3,176,1,0,1,1,1
953,44,20,180,93943,2,7.6,1,524,0,0,0,0,1
2327,45,19,73,94086,4,2.9,1,0,0,0,0,0,0
1954,49,25,22,90058,4,0.2,1,83,0,0,0,1,0
1754,53,29,25,92008,2,0.4,1,0,0,0,0,1,0
362,43,19,153,90254,2,7.5,1,0,0,0,0,1,0
1738,44,19,70,92399,1,0.2,2,230,0,1,0,0,0
2377,58,33,23,91768,3,0.2,1,0,0,0,0,0,0
1611,38,14,103,94305,1,0.8,2,0,0,0,0,0,1
2387,31,5,72,94542,3,1.6,1,0,0,0,0,1,0
710,29,4,72,95841,4,2.2,1,0,0,0,0,1,0
1806,51,26,15,92373,2,0,1,114,0,0,0,1,0
1302,41,17,153,92121,1,1.7,1,337,0,0,0,0,1
1736,60,36,31,95051,3,0.4,2,0,0,0,0,1,1
911,60,36,79,92120,1,1.8,3,0,0,0,0,0,1
426,28,3,28,90505,4,0.8,1,0,0,0,0,1,0
747,62,37,85,95051,4,3.4,2,0,0,0,0,1,0
728,62,37,18,92037,3,1.3,2,0,0,0,0,1,0
2245,57,31,53,92806,1,0.8,2,120,0,0,0,0,0
1425,29,3,92,94539,2,1.3,1,287,0,0,0,1,0
1410,41,17,63,90745,2,3.2,1,0,0,0,0,0,0
712,62,37,83,91754,3,1.8,2,187,0,1,0,0,0
1600,50,24,124,93305,1,4.9,1,266,0,0,0,1,0
372,58,34,19,92029,4,0.7,1,0,0,0,0,0,0
931,28,4,43,92103,3,0.1,2,0,0,0,0,1,0
818,41,15,38,90291,2,0.7,1,91,0,0,0,1,0
1957,42,18,89,94539,4,0.8,1,184,0,0,0,0,0
675,49,23,59,95827,3,2.1,1,0,0,0,0,0,0
1911,43,18,83,95616,2,3.8,3,112,0,0,0,0,0
1004,25,1,62,94720,4,0,1,229,0,0,0,1,0
1446,47,21,141,90095,1,2.4,1,0,0,0,0,0,0
1718,33,7,101,93727,1,2.7,2,233,0,0,0,0,0
1846,43,18,65,93065,2,2.2,3,0,0,0,0,1,0
1601,60,36,129,92028,2,6,1,0,0,0,0,1,0
1137,47,21,65,94086,1,1.5,2,0,0,1,0,1,0
1088,38,13,54,92028,3,0.7,2,196,0,0,0,0,0
584,24,-1,38,95045,2,1.7,2,0,0,0,0,1,0
369,63,37,30,92054,2,1,3,159,0,0,0,1,0
515,27,1,74,91730,3,0.3,3,0,0,0,0,1,0
1688,63,39,83,90025,3,2,3,0,0,0,0,1,1
264,27,1,74,92121,4,1.8,2,112,0,0,0,1,1
601,56,30,141,94143,2,0.5,1,0,0,0,0,1,0
2429,39,12,108,92717,4,3.67,2,301,1,0,0,0,1
1506,51,25,18,92109,1,0.3,3,93,0,0,0,0,1
2102,35,5,203,95032,1,10,3,0,1,0,0,0,0
1584,61,36,184,92028,4,2.3,2,342,1,0,1,1,1
220,56,30,61,94707,1,2.2,3,0,0,0,0,1,1
1451,59,34,80,90086,3,0.5,1,0,0,0,0,1,1
1158,48,23,132,94998,1,0.6,1,157,0,0,0,0,0
833,36,10,31,90630,4,1.2,2,0,0,0,0,0,0
202,35,9,20,94609,2,1.4,3,0,0,0,0,1,1
1678,34,10,42,92173,1,1.5,2,131,0,0,0,0,0
2257,56,31,13,94305,4,0.9,2,76,0,0,1,1,1
389,54,30,100,95814,4,3.4,3,0,1,0,0,0,0
462,55,30,81,92123,2,3.7,1,0,0,1,0,0,0
1673,48,23,173,94546,3,0.2,1,0,1,0,1,1,1
1875,37,11,82,95819,3,0.9,2,218,0,0,0,1,1
1163,38,14,112,94501,2,2.2,1,394,0,0,0,0,0
655,54,29,129,93940,4,4.2,3,0,1,0,0,0,0
1056,31,6,62,95630,1,1,1,0,0,1,0,1,0
734,49,24,80,92009,1,1.2,1,0,0,0,0,1,0
2204,50,25,130,91320,1,0.6,1,311,0,0,0,0,0
84,33,9,50,94305,1,2.4,2,0,0,0,0,0,0
1882,46,19,82,91365,3,2.67,2,0,0,0,0,0,0
295,35,9,55,94536,1,2,1,0,0,0,0,1,0
351,39,14,113,94301,1,1,3,0,0,1,0,1,0
1298,61,35,90,95814,4,1.9,2,0,0,0,0,1,0
2247,35,11,190,92093,3,3.1,2,266,1,0,0,0,0
2192,42,18,171,90027,2,8,1,0,0,0,0,1,0
239,57,32,28,95831,3,0.2,1,0,0,0,0,1,1
2447,25,1,70,93010,4,2.6,1,218,0,0,0,1,0
1613,41,17,33,94550,1,0.7,1,104,0,0,0,0,0
312,52,26,121,94550,1,7.3,1,167,0,0,0,1,0
1853,32,6,54,94596,4,1.8,3,167,0,0,0,0,0
1426,64,38,40,91330,1,2.5,3,94,0,0,0,1,1
395,33,9,80,91311,4,3.4,1,0,0,0,0,1,1
1119,42,17,98,95670,2,0.4,1,0,0,0,0,1,1
444,48,24,29,90509,1,1,1,0,0,0,0,0,0
1568,63,39,92,94710,2,0,3,0,0,0,0,1,0
1745,28,3,29,91105,4,0.8,1,135,0,0,0,1,0
917,44,20,85,92192,2,3.2,1,0,0,0,0,1,0
1798,35,10,143,91365,1,8.6,1,0,0,0,0,1,1
2451,32,7,28,90034,4,1.1,3,0,0,0,0,0,0
1792,48,22,139,94309,1,0,1,0,0,0,1,1,1
591,29,3,39,94612,4,2.1,3,0,0,0,0,1,0
1609,36,10,35,94608,2,0.3,1,98,0,0,0,1,0
1007,63,38,103,91103,1,2.5,1,0,0,0,0,1,0
693,26,2,30,94720,1,1,3,111,0,0,0,0,0
2465,60,36,32,92407,3,0.4,2,165,0,0,0,1,0
337,36,12,65,95051,3,2.6,2,0,0,0,0,1,0
2357,31,5,184,92064,4,3.4,2,0,1,0,1,1,1
1407,53,23,20,92123,4,0.4,3,0,0,0,0,1,1
1588,52,28,21,94035,2,0.4,1,0,0,1,0,1,0
249,55,29,99,92121,2,1.4,1,264,0,0,0,1,1
737,61,35,152,91016,3,3.3,3,0,1,0,0,1,0
377,45,21,61,94304,3,0.7,1,0,0,0,0,0,0
42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0
2235,36,12,35,95812,4,0.4,2,0,0,0,0,1,0
1304,29,5,112,94720,2,2,2,382,0,1,0,0,0
1349,38,14,35,95051,1,1.5,2,97,0,0,0,1,0
841,27,3,94,92373,2,0.2,1,310,0,0,0,0,1
359,30,6,141,94539,2,4.33,1,0,0,0,0,1,0
755,38,14,102,95020,2,1.9,1,0,0,0,1,1,1
781,32,7,42,92634,4,0.8,1,0,0,0,0,1,1
1677,46,20,74,92821,4,2.6,3,104,0,0,0,1,0
120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0
2161,43,17,55,93933,3,2.2,2,0,0,0,0,0,0
1239,28,2,63,91116,2,1.6,3,0,0,0,0,1,0
526,64,38,79,94024,2,2.8,1,179,0,0,0,0,0
267,63,38,61,94720,2,1.5,1,0,0,0,0,1,0
1350,26,2,171,93943,3,6,2,0,1,0,0,1,0
987,53,27,101,90245,4,4.9,1,0,0,0,0,1,0
1146,32,6,99,92101,2,1.5,3,0,0,0,0,0,1
266,49,23,23,94305,4,0.6,3,98,0,1,0,0,0
190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0
1221,41,17,165,94143,2,8,1,0,0,0,0,1,0
1503,65,39,113,90036,1,2,1,0,0,0,0,1,1
647,58,33,61,90033,4,1.7,1,0,0,0,0,0,0
2122,41,17,38,92182,4,2.2,2,180,0,0,0,0,1
1237,31,6,81,95762,4,2.2,2,116,0,0,0,1,0
2198,60,35,34,94102,1,0.3,3,0,0,0,0,1,0
1966,45,20,94,90095,3,0.5,3,0,0,0,0,1,0
1809,55,31,50,93010,4,1.5,1,0,0,0,0,1,0
1781,49,24,82,95051,1,2.9,1,267,0,0,0,1,0
2380,42,18,110,94720,2,6.1,1,182,0,0,0,1,0
544,63,38,54,94704,3,2.4,1,90,0,0,0,0,1
900,30,3,172,91302,3,3.4,2,0,1,0,0,0,1
2408,39,15,100,94720,1,0.8,2,0,0,0,0,1,0
1285,65,40,128,90740,1,2.5,1,162,0,0,0,1,0
1541,34,8,11,91320,4,0.3,1,0,0,1,1,1,1
507,51,25,44,94608,3,0.9,3,0,0,0,0,0,0
2401,61,36,169,91380,2,6.1,3,106,1,0,1,1,1
243,41,16,75,94005,1,3.7,3,280,0,0,0,0,0
2151,62,38,54,91320,1,0.8,1,0,0,1,0,0,1
427,42,18,75,92182,3,2.33,1,0,0,0,0,0,1
495,41,17,160,92647,2,8,1,0,0,0,0,1,0
302,65,39,150,92120,2,6.9,1,196,0,0,0,0,0
575,29,5,80,94709,2,2,2,0,0,0,0,1,1
348,25,0,43,94305,2,1.6,3,0,0,1,1,1,1
868,61,35,61,94708,1,1.6,1,0,0,0,0,0,0
1802,35,10,78,92121,1,2.6,2,0,0,0,0,0,0
1477,61,37,64,92028,1,0,2,0,0,0,0,0,1
1865,61,36,61,92103,2,2.8,1,0,0,0,0,0,0
2004,44,20,124,90277,1,4.7,1,0,0,0,0,1,1
1863,42,17,82,95616,1,3.7,3,0,0,0,0,1,0
2442,64,38,38,94305,2,0.3,1,186,0,0,0,1,1
1141,32,6,13,94611,4,0.3,1,0,0,0,0,1,1
1807,61,36,10,90740,1,0.1,1,0,0,0,0,0,0
85,46,22,18,91730,1,0.9,3,0,0,0,0,1,0
1086,51,26,11,92612,2,0,1,0,0,1,0,0,0
1746,37,12,40,90065,2,1.1,2,0,0,1,0,0,1
1486,34,9,99,90245,4,2.2,2,155,0,0,0,1,0
642,35,10,139,95060,2,7.8,1,0,0,0,0,0,0
2015,49,19,169,95054,3,5.67,3,167,1,0,1,0,1
1675,37,11,139,95814,2,0.8,2,421,1,0,0,1,0
689,44,20,71,94304,4,1.9,1,207,0,0,0,1,0
1993,52,28,38,94302,2,0.8,1,0,0,0,0,0,1
1306,32,6,28,94025,2,0.3,2,88,0,0,0,1,0
2108,41,17,85,90291,4,0.2,3,229,0,0,0,0,0
744,61,37,40,94539,4,2.2,1,0,0,1,1,1,1
758,52,28,81,91745,3,1.8,2,0,0,1,0,0,0
1892,42,18,50,95126,4,2.2,2,0,0,0,0,0,0
1771,62,37,9,91320,1,0.1,1,94,0,0,0,0,0
1005,53,23,65,95054,4,2,3,0,0,0,0,1,0
1529,34,9,134,94550,1,4.6,1,164,0,1,0,1,0
1634,62,38,53,92121,1,0,2,0,0,0,0,0,0
1042,56,32,51,92780,4,1.5,1,0,0,0,0,0,0
141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1
1343,36,12,79,90041,2,2.2,1,0,0,0,0,1,0
1418,42,18,52,94061,2,2.5,1,0,0,0,0,0,0
1077,40,13,24,94608,3,1,2,0,0,0,0,1,0
160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0
1414,48,24,12,90058,3,0.4,1,0,0,0,0,0,0
1788,32,6,44,94608,4,0.2,1,0,0,1,1,1,1
651,47,22,122,90037,1,5.1,3,163,1,1,0,0,0
137,59,32,49,95035,4,2.5,2,0,0,0,0,1,0
2023,33,3,71,93561,4,1.8,3,236,0,0,0,0,0
2345,65,40,20,94608,3,0.5,1,102,0,0,0,1,1
599,56,31,11,92374,2,0.2,3,90,0,0,0,0,0
176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0
708,47,20,25,95064,3,0.67,2,0,0,0,0,1,1
1797,57,32,42,92831,2,2.1,3,0,0,0,0,1,0
1256,27,1,80,95354,2,1.6,3,185,0,0,0,1,1
2293,57,33,170,95051,2,2.1,2,0,1,0,0,0,0
1577,43,18,98,92131,2,0.4,1,0,0,0,0,1,0
1642,58,34,152,92182,4,3.6,3,0,1,0,0,0,0
716,47,23,32,92130,1,1,1,0,0,1,1,1,1
481,54,29,68,94998,3,1.6,3,0,0,0,0,1,1
2030,30,3,61,92152,4,2,2,0,0,0,0,1,0
2169,55,29,64,93063,4,2.6,3,0,0,0,0,1,0
2295,39,15,129,90035,2,1.9,1,0,0,0,0,0,0
1434,51,25,68,92647,2,1.5,2,117,0,0,0,0,1
161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0
851,46,20,39,95054,1,0.2,1,0,0,0,0,0,0
2248,60,34,60,95616,1,2.5,3,103,0,0,0,0,0
690,54,30,18,94591,1,0.3,1,0,0,1,1,1,0
1524,41,16,104,92037,1,1,3,0,0,0,0,1,0
877,40,14,58,94025,2,2.8,1,0,0,0,0,1,0
382,55,29,73,95616,2,2.3,3,0,0,0,0,1,1
1693,58,32,32,93014,3,1.4,1,0,0,0,0,1,0
412,60,36,54,92182,4,2.3,3,0,0,1,0,0,0
1228,39,13,30,92122,3,0.2,2,0,0,0,0,0,0
2459,46,20,72,93108,2,0.8,3,0,0,0,0,1,1
556,34,8,35,92037,4,0.8,1,137,0,0,1,1,1
1034,60,34,29,95973,2,0.3,1,0,0,0,0,1,0
436,52,26,80,94709,3,0.8,1,0,0,0,0,0,0
1829,30,4,25,92123,2,0.3,2,0,0,0,0,0,0
1359,50,25,83,92007,1,2.8,2,0,0,0,0,1,1
1834,34,9,178,94303,1,0.8,3,0,1,0,0,0,0
902,57,33,24,95616,4,0.7,1,0,0,0,0,1,0
149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0
1389,52,28,25,90212,4,1,1,0,0,0,0,0,0
270,43,13,33,95039,1,0.75,3,0,0,0,0,0,0
260,56,30,55,94107,1,1.4,1,77,0,0,0,1,0
1103,29,3,84,95023,1,2.9,3,0,0,0,0,1,0
1098,50,24,188,92007,3,1.3,1,184,1,0,0,0,1
122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0
2266,47,23,88,94305,4,1.4,2,0,0,0,0,0,0
2436,34,9,102,92115,4,2.2,2,0,0,0,0,1,0
461,60,36,141,90277,2,2.1,1,0,0,0,0,1,1
1926,43,19,81,90245,1,0.3,1,218,0,0,0,1,0
1270,36,11,14,92673,4,0.2,3,100,0,0,0,1,1
1564,55,29,19,92109,4,0.7,3,121,0,1,0,0,1
2250,41,14,38,95814,3,1,2,150,0,0,0,1,0
880,63,37,84,91768,4,1.9,2,0,0,0,0,1,0
2082,52,27,45,95006,1,1.3,2,0,0,0,0,0,0
1968,43,18,89,94303,3,0.5,3,108,0,0,0,0,1
263,49,23,33,90245,1,0.3,3,0,0,0,1,1,1
2226,54,24,25,90505,4,0.4,3,115,0,0,0,0,0
960,49,24,68,94143,1,0.2,2,163,0,0,0,0,0
762,48,24,84,92152,3,0.7,1,166,0,0,0,1,0
94,60,34,64,94550,2,1.7,3,236,0,1,0,1,0
724,50,24,61,94301,4,2.6,1,0,0,0,0,1,0
1454,29,5,85,90232,3,2.5,1,0,0,0,0,1,1
1112,54,28,183,90071,1,1,1,442,0,0,0,0,0
1555,42,15,34,91302,3,1,2,0,0,1,0,1,0
1864,48,22,43,94588,1,1.2,2,112,0,0,0,1,0
1844,30,6,154,90230,1,6,1,0,0,0,0,0,0
1201,36,12,22,92507,4,1,1,91,0,1,0,1,0
2453,25,1,28,94596,1,1,3,0,0,0,0,1,0
1002,57,32,55,90717,4,2.1,1,108,0,0,0,1,0
780,53,28,192,94304,2,6.4,3,0,1,0,0,0,0
204,58,34,65,95747,4,2.2,1,0,0,0,0,1,0
1847,56,32,15,90089,1,0.1,2,0,0,0,0,1,0
2051,41,15,29,94024,2,0.8,3,98,0,0,0,0,0
767,37,12,81,94538,1,2.8,1,0,0,0,0,0,0
1710,58,34,88,93555,2,1.6,1,0,0,0,0,1,1
875,30,4,40,92056,4,2.1,3,0,0,0,0,1,1
646,35,9,84,95120,4,2.2,2,322,0,0,0,0,0
784,44,20,160,94606,2,7.6,1,0,0,1,0,0,0
882,44,19,154,92116,2,8.8,1,0,0,0,0,1,0
1347,44,20,50,95670,3,2.33,1,200,0,0,0,0,0
109,33,7,32,95136,1,0.6,3,166,0,0,0,1,0
1814,61,36,55,90033,3,0.9,3,0,0,0,0,1,1
51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0
1365,44,19,69,92129,4,0.4,1,0,0,0,0,0,0
989,63,39,32,94998,1,1.9,2,100,0,0,0,0,0
787,45,21,42,94305,2,2.5,1,0,0,1,0,1,0
1857,51,24,21,95014,2,1,2,0,0,0,0,1,0
1768,41,14,74,92691,3,2.33,2,0,0,0,0,1,0
1249,44,19,35,94305,4,0,2,0,0,0,0,1,0
1392,44,18,84,91330,3,1.1,1,0,0,0,0,0,0
1321,31,7,192,90250,1,0,2,0,1,0,0,1,0
1487,35,9,141,93022,2,4.5,2,0,1,0,0,0,0
2313,48,22,83,91345,2,2.4,2,0,0,0,0,1,0
2487,61,36,130,92717,1,1.3,1,257,0,0,0,0,0
